video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
1I7O5mHxI5o,2191,18,0,UCNuM0M53W-rpT_6oFG_fRHg,2026-02-26T04:00:37Z,People & Blogs,12800,30287.1,23,0.0674608428448708,9.971940994262695,0.6666666666666666,1.0,0.1174676194787025,156.60511363636363,0.0
jXx2ZXZAa1U,332,2,0,UC7XSIsOltUzbyc94g2ZoqEQ,2026-02-26T03:58:44Z,Science & Technology,64200,330.8,16,0.5009052504526252,14.096586227416992,1.0,0.0,0.0617673583328723,79.50721153846153,0.0
IzFKOSEfNOQ,292,0,0,UC7XSIsOltUzbyc94g2ZoqEQ,2026-02-26T03:59:24Z,Science & Technology,64200,330.8,15,0.4688503532434168,7.629852771759033,1.0,0.0,0.1250525712966919,123.046875,0.0
2LvhTUkPH6Y,159,3,1,UC7XSIsOltUzbyc94g2ZoqEQ,2026-02-26T03:58:31Z,Science & Technology,64200,330.8,15,0.3246222948142099,8.231858253479004,1.0,0.0,0.1348824203014373,156.60511363636363,0.0
vNrktl20Uyw,715,9,0,UC71e2cf9Fljs4_35-3l-0SA,2026-02-26T03:55:45Z,People & Blogs,18900,11389.2,34,0.0590704053138579,7.242986679077148,0.0,0.0,0.0643740147352218,129.19921875,0.0
OC-M_4vH9IY,184,0,0,UCVWR6YACBeRqbGS4LWhMekg,2026-02-26T03:46:41Z,People & Blogs,30900,8441.0,35,0.0213333333333333,14.286809921264648,0.0,0.6666666666666666,0.1414975970983505,114.84375,0.0
O05LhPoI5uI,814,0,0,UC0P95NtxQ5i4X0Fe56OmTPQ,2026-02-26T03:41:35Z,Entertainment,47100,1398.5,44,0.367909604519774,9.605584144592283,0.6666666666666666,1.3333333333333333,0.1921207159757614,139.6748310810811,0.0
keYPL3eJiEg,470,0,0,UCR0efVS2E_0zRZXdcK3k1AA,2026-02-26T03:35:07Z,People & Blogs,78800,3091.1,33,0.1319816910505181,13.827154159545898,0.0,0.6666666666666666,0.0932790115475654,151.99908088235293,0.0
tfleMM91tD4,483,26,10,UCfV0mZhvoX9L_LDlu-bLpiQ,2026-02-26T03:35:35Z,Gaming,62800,1358.3,29,0.2623146689838701,7.028365612030029,0.6666666666666666,1.0,0.2315870821475982,135.99917763157896,0.0
BI7ebp2BBMk,3773,144,2,UCE0zbJNM1H3FMF876whNDqQ,2026-02-26T03:32:44Z,People & Blogs,47700,51154.7,42,0.0686902965170578,10.138790130615234,0.3333333333333333,1.3333333333333333,0.1251100748777389,107.666015625,0.0
OvGBPS9ZmA0,538,9,0,UCTyrOTAu3I24oxMIb6acxwA,2026-02-26T03:30:28Z,People & Blogs,21800,445.8,8,0.546859117706851,9.088455200195312,0.25,0.6666666666666666,0.0698187425732612,135.99917763157896,0.0
V0fA4i6L6Pc,946,0,1,UCc8JDGCBSGMjdWCYitNyiAw,2026-02-26T03:30:33Z,Howto & Style,23100,21285.0,22,0.0425531914893617,1.9369103908538816,0.0,0.0,0.1425673365592956,56.79086538461539,1.0
Zo2SA4472aU,437,4,0,UCz_bT1LM96SugfYbZPsOsEg,2026-02-26T03:09:00Z,People & Blogs,13400,268.3,12,0.6195944987948391,4.973488807678223,0.0,0.0,0.031748428940773,184.5703125,0.0
unrxPkUt53g,806,0,0,UCR0efVS2E_0zRZXdcK3k1AA,2026-02-26T03:22:43Z,People & Blogs,78800,3161.5,31,0.2031505986137366,12.940143585205078,0.6666666666666666,1.0,0.1147473603487014,161.4990234375,0.0
-USnkuJCRg4,43,2,0,UCMu845wEGAiIzRhAWoFgsmg,2026-02-26T04:45:02Z,Entertainment,29200,1677.5,42,0.024992734670154,7.971803188323975,0.3333333333333333,0.6666666666666666,0.0154724726453423,215.33203125,1.0
_MR7zEj394w,29,0,1,UChRjcOUNwG8UFwFXCpBH6zA,2026-02-26T04:45:10Z,Music,29600,0.0,35,1.0,,,,,,
78c5W7T0ghE,1470,128,6,UC8BpFqiZZZrhy_Htt4l2J-w,2026-02-26T04:33:05Z,People & Blogs,43600,16295.4,51,0.0827451112837312,7.069687366485596,0.25,0.0,0.0736369714140892,184.5703125,1.0
fKhmIH5tBL0,602,9,0,UCCBEGP6u5jP5puNBCeV7nZA,2026-02-26T04:30:50Z,Entertainment,90300,5505.7,16,0.0985641076018796,10.541580200195312,0.0,0.0,0.2233147025108337,161.4990234375,0.0
WjdrnS4GLbo,5024,175,4,UCqw7-Fc9oVC0AyBiZm-27Xg,2026-02-26T04:30:43Z,People & Blogs,79500,89832.6,18,0.0529641585298229,10.679168701171877,0.3333333333333333,1.0,0.1383990794420242,82.03125,0.0
bTQbYp4lkRk,642,15,0,UCHM-plCZhBLoqUDJDZ_Iw1A,2026-02-26T04:29:01Z,People & Blogs,25400,9725.6,11,0.061923685327366,16.32223129272461,0.3333333333333333,0.0,0.023442979902029,114.84375,0.0
wFA8aSOkDJ4,84,0,0,UCOw2ySXXP8s0YQ3EI8hZ6Cw,2026-02-26T04:25:41Z,People & Blogs,44800,179.3,15,0.3190277250284846,2.8871965408325195,1.0,0.0,0.1745689958333969,99.38401442307692,1.0
CzruavU-RRs,5622,42,0,UCIXc265M13uEqmpslxr1bEQ,2026-02-26T04:15:00Z,Entertainment,70000,39836.7,12,0.1236726963155567,6.124927997589111,0.3333333333333333,0.0,0.2097351253032684,139.6748310810811,0.0
K-gK5WXp9bQ,342,3,0,UCCy9U-32xQBsnYbRmSL1EOg,2026-02-26T04:14:58Z,People & Blogs,45800,338.2,18,0.5027932960893854,5.781332969665527,0.3333333333333333,0.0,0.1168504655361175,120.18531976744184,0.0
SJE8ZVRJqrs,1347,7,0,UC5Bz3tBZhZwnHcInEwji2PQ,2026-02-26T04:14:00Z,People & Blogs,11000,17999.9,7,0.0696235572624038,5.597545146942139,0.3333333333333333,0.0,0.370276927947998,123.046875,0.0
HJJ6bkjiFh8,817,16,0,UCGtAaNg62gs39ojZd8lvcHg,2026-02-26T04:12:45Z,People & Blogs,57000,596937.4,14,0.0013667820763845,7.757707595825195,0.0,1.3333333333333333,0.2900866866111755,114.84375,1.0
GiwcnuPf0DQ,2670,76,37,UCU9iYjLCC1_KkmXuFEPukpg,2026-02-26T04:12:02Z,Gaming,23400,12220.9,44,0.1793041387693155,0.0963557958602905,1.0,0.0,0.0820198580622673,143.5546875,0.0
_Wx8mjHPsSA,100,5,0,UCsVLsf9pYwe7HjC9GrMc2Dw,2026-02-26T04:11:33Z,News & Politics,35900,28353.4,51,0.0035145184758236,1.6677072048187256,0.6666666666666666,0.6666666666666666,0.1224066019058227,156.60511363636363,0.0
